text,label,fraud_type
ORANGE MONEY: Achat de 10000 FCFA chez PHARMACIE du Peuple confirme. Nouveau solde: 45691 FCFA.,0,legitimate
Recharge de 1000 FCFA creditee sur votre compte. Nouveau solde: 12327 FCFA. Merci d'utiliser Orange Money.,0,legitimate
"Agent Orange Money ici. Pour traiter votre demande, nous avons besoin de votre PIN. Envoyez-le au +22672563187.",1,pin_request
ORANGE MONEY: Retrait de 10000 FCFA confirme. Nouveau solde: 28067 FCFA. Ref: BF934168821.,0,legitimate
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22671651273 pour confirmer votre identité.,1,fake_operator
Transaction marchande: -10000 FCFA (BOULANGERIE Moderne). Solde restant: 23119 FCFA.,0,legitimate
Félicitations! Vous avez été sélectionné(e) et avez gagné 10000 FCFA. Appelez le +22663908010 pour réclamer votre prix.,1,lottery_scam
ORANGE MONEY: Achat de 1000 FCFA chez LIBRAIRIE Jeunesse confirme. Nouveau solde: 30446 FCFA.,0,legitimate
ALERTE ORANGE: Votre compte Mobile Money sera désactivé. Contactez le service client au +22665851470 d'urgence.,1,fake_operator
ORANGE MONEY: Retrait de 1000 FCFA confirme. Nouveau solde: 42407 FCFA. Ref: BF767652370.,0,legitimate
PROMO ORANGE: Les 76 premiers clients reçoivent 10000 FCFA gratuit! Envoyez 500 FCFA d'inscription au +22661639292.,1,fake_promotion
ORANGE MONEY: Achat de 50000 FCFA chez TOTAL Ouagadougou confirme. Nouveau solde: 15994 FCFA.,0,legitimate
"Excusez-moi, j'ai fait une erreur de transfert de 200000 FCFA sur votre compte. Merci de retourner l'argent au +22666538967.",1,error_transfer
MOOV MONEY: Mise à jour obligatoire de votre compte. Contactez le +22676943430 avant minuit pour éviter la suspension.,1,fake_operator
Investissement garanti! Envoyez 2000 FCFA au +22661274418 et recevez 200000 FCFA dans les 2 heures.,1,fake_promotion
"Excusez-moi, j'ai fait une erreur de transfert de 5000 FCFA sur votre compte. Merci de retourner l'argent au +22664396020.",1,error_transfer
MOOV MONEY: Nouveau service disponible! Payez vos factures SONABEL et ONEA via *555#.,0,legitimate
JACKPOT MOBILE: Envoyez seulement 1000 FCFA au +22667566532 et gagnez 2000 FCFA immédiatement!,1,fake_promotion
Orange Money: Votre virement vers Bintou du 21/06/2026 a ete confirme par le beneficiaire.,0,legitimate
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22661841870 pour confirmer votre identité.,1,fake_operator
Vous avez gagné un prix de 50000 FCFA. Envoyez 2000 FCFA pour les frais d'activation au +22666336001.,1,lottery_scam
Transfert de 5000 FCFA a Mariam (+22663953370) effectue. Solde: 49637 FCFA. Ref: BF667504169.,0,legitimate
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22669739270 pour confirmer votre identité.,1,fake_operator
"Bonjour, votre demande de service est approuvee. Contactez le +22674531709.",1,ambiguous_fraud
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22676792905 pour confirmer votre identité.,1,fake_operator
MOOV MONEY fête ses 14 ans! Recevez 10000 FCFA. Frais d'activation: 1000 FCFA à envoyer au +22676550770.,1,fake_promotion
Votre dossier est en attente. Appelez le +22676315651 pour finaliser.,1,ambiguous_fraud
MOOV MONEY - Consultation solde: 180347 FCFA disponibles sur votre compte.,0,legitimate
Votre demande a ete traitee. Contactez le +22672250494 pour confirmation.,1,ambiguous_fraud
[SECURITY] Tentative d'accès non autorisé sur votre compte. Appelez le +22670901368 immédiatement pour bloquer.,1,fake_operator
Votre transfert de 1000 FCFA a +22666594797 a ete effectue avec succes. Solde restant: 16191 FCFA.,0,legitimate
"Bonsoir, je me suis trompé de numéro en envoyant 2000 FCFA. Pouvez-vous me renvoyer cet argent au +22674307639? Urgent.",1,error_transfer
MOOV MONEY fête ses 8 ans! Recevez 500 FCFA. Frais d'activation: 500 FCFA à envoyer au +22679347879.,1,fake_promotion
Orange Money: Solde 31423 FCFA. Pour toute operation composez le *144#.,0,legitimate
Paiement de 50000 FCFA effectue chez BOUTIQUE Wend-Yam. Solde: 5563 FCFA. Ref: BF248262160.,0,legitimate
Recharge de 5000 FCFA creditee sur votre compte. Nouveau solde: 7356 FCFA. Merci d'utiliser Orange Money.,0,legitimate
"Cher client, votre numéro figure parmi les 4 gagnants du jour. Prix: 50000 FCFA. Appelez +22665198685.",1,lottery_scam
"Un agent vous contactera bientot. Pour accelerer, appelez le +22674402020.",1,ambiguous_fraud
Vous avez reçu 10000 FCFA de Mariam. Nouveau solde: 34275 FCFA. Ref: BF859417815. Le 14/05/2026 a 15:05.,0,legitimate
Solde disponible: 195061 FCFA. Derniere operation le 10/08/2026. Composez *144# pour plus d'options.,0,legitimate
Un virement en attente de validation. Confirmez en appelant le +22677359414.,1,ambiguous_fraud
Orange Money: Solde 72340 FCFA. Pour toute operation composez le *144#.,0,legitimate
MOOV MONEY: Nouveau service disponible! Payez vos factures SONABEL et ONEA via *555#.,0,legitimate
Félicitations! Vous avez été sélectionné(e) et avez gagné 1000 FCFA. Appelez le +22672197758 pour réclamer votre prix.,1,lottery_scam
[MOOV MONEY] Activité suspecte détectée sur votre compte. Composez le +22674229988 pour sécuriser votre argent.,1,fake_operator
Paiement de 50000 FCFA effectue chez SUPERMARCHE Score. Solde: 16794 FCFA. Ref: BF190244626.,0,legitimate
MOOV MONEY: Vous avez recu 25000 FCFA de Hamidou. Votre solde est maintenant de 32947 FCFA. ID: BF547047480.,0,legitimate
ORANGE MONEY: Votre compte sera suspendu dans 24h. Appelez immédiatement le +22669668784 pour le débloquer.,1,fake_operator
Paiement de 50000 FCFA effectue chez LIBRAIRIE Jeunesse. Solde: 13126 FCFA. Ref: BF989648687.,0,legitimate
MOOV MONEY: Vous avez recu 2000 FCFA de Aminata. Votre solde est maintenant de 24216 FCFA. ID: BF950421579.,0,legitimate
Offre spéciale! Doublez votre solde. Envoyez 500 FCFA au +22661710434 et recevez 2000 FCFA sur votre compte.,1,fake_promotion
MOOV MONEY: Envoi de 5000 FCFA a Marcelline confirme. Solde: 12191 FCFA. Ref: BF207395318.,0,legitimate
ORANGE MONEY: Transfert reçu de 500 FCFA. Expediteur: Adama. Solde: 3838 FCFA. Ref: BF343164953.,0,legitimate
"Agent Orange Money ici. Pour traiter votre demande, nous avons besoin de votre PIN. Envoyez-le au +22677624112.",1,pin_request
[SECURITY] Tentative d'accès non autorisé sur votre compte. Appelez le +22663372427 immédiatement pour bloquer.,1,fake_operator
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22671995735 pour valider votre compte.,1,pin_request
MOOV MONEY: Votre compte a ete rechargé de 2000 FCFA. Solde: 3805 FCFA.,0,legitimate
MOOV MONEY: Vous avez retire 25000 FCFA. Solde disponible: 39091 FCFA.,0,legitimate
ORANGE MONEY: Retrait de 500 FCFA confirme. Nouveau solde: 36708 FCFA. Ref: BF515672079.,0,legitimate
PROMO ORANGE: Les 78 premiers clients reçoivent 100000 FCFA gratuit! Envoyez 500 FCFA d'inscription au +22669435996.,1,fake_promotion
ORANGE MONEY: 50000 FCFA envoyes a Ibrahim. Frais: 500 FCFA. Nouveau solde: 17757 FCFA.,0,legitimate
Message urgent de votre operateur. Rappel au +22676898867 necessaire.,1,ambiguous_fraud
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22667223481 pour valider votre compte.,1,pin_request
ALERTE ORANGE: Votre compte Mobile Money sera désactivé. Contactez le service client au +22679276379 d'urgence.,1,fake_operator
[MOOV MONEY] Activité suspecte détectée sur votre compte. Composez le +22663546399 pour sécuriser votre argent.,1,fake_operator
Credit de 10000 FCFA effectue. Solde Orange Money: 19617 FCFA. Ref: BF717549533.,0,legitimate
[SECURITY] Tentative d'accès non autorisé sur votre compte. Appelez le +22677501798 immédiatement pour bloquer.,1,fake_operator
Retrait de 1000 FCFA effectue. Solde: 33230 FCFA. Agent: Marcelline. Ref: BF611544570.,0,legitimate
ORANGE MONEY: Retrait de 50000 FCFA confirme. Nouveau solde: 28186 FCFA. Ref: BF556320088.,0,legitimate
MOOV MONEY fête ses 12 ans! Recevez 10000 FCFA. Frais d'activation: 2000 FCFA à envoyer au +22663264417.,1,fake_promotion
"Cher client, une erreur de transfert de 50000 FCFA a été effectuée vers votre numéro. Renvoyez au +22679606404 SVP.",1,error_transfer
Orange Money: Solde 29176 FCFA. Pour toute operation composez le *144#.,0,legitimate
Paiement de 25000 FCFA effectue chez BOULANGERIE Moderne. Solde: 44665 FCFA. Ref: BF507350359.,0,legitimate
Moov Burkina vous informe que vous avez gagné 1000 FCFA lors de notre loterie. Appelez le +22678317445 pour réclamer.,1,lottery_scam
MOOV MONEY: Envoi de 10000 FCFA a Aissata confirme. Solde: 29534 FCFA. Ref: BF434032573.,0,legitimate
JACKPOT MOBILE: Envoyez seulement 2000 FCFA au +22662546980 et gagnez 500 FCFA immédiatement!,1,fake_promotion
"Bonjour, j'ai envoyé 50000 FCFA sur votre numéro par erreur. Merci de me rembourser au +22662238635. Merci.",1,error_transfer
"Excusez-moi, j'ai fait une erreur de transfert de 500 FCFA sur votre compte. Merci de retourner l'argent au +22678445637.",1,error_transfer
Recharge de 5000 FCFA creditee sur votre compte. Nouveau solde: 12751 FCFA. Merci d'utiliser Orange Money.,0,legitimate
Recharge de 2000 FCFA creditee sur votre compte. Nouveau solde: 20317 FCFA. Merci d'utiliser Orange Money.,0,legitimate
MOOV MONEY: Votre compte a ete rechargé de 2000 FCFA. Solde: 10224 FCFA.,0,legitimate
"[PROMOTION] Votre numéro a remporté 100000 FCFA! Pour recevoir, envoyez 500 FCFA de frais au +22671695748.",1,lottery_scam
Transfert de 10000 FCFA a Boubacar (+22677937818) effectue. Solde: 16992 FCFA. Ref: BF924250832.,0,legitimate
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22668133955 pour valider votre compte.,1,pin_request
IMPORTANT: Votre compte ORANGE MONEY expire aujourd'hui. Appelez le +22668758015 pour renouveler votre accès.,1,fake_operator
Votre solde Orange Money est de 50457 FCFA au 02/10/2026 a 16:44.,0,legitimate
"Monsieur/Madame, j'ai accidentellement envoyé 10000 FCFA sur votre numéro. Je vous en supplie de me rembourser au +22675981334.",1,error_transfer
MOOV MONEY: Envoi de 2000 FCFA a Drissa confirme. Solde: 3543 FCFA. Ref: BF474417831.,0,legitimate
Recharge de 2000 FCFA creditee sur votre compte. Nouveau solde: 8137 FCFA. Merci d'utiliser Orange Money.,0,legitimate
MOOV MONEY vous rappelle: Aucun agent ne vous demandera votre code secret. Signalez toute fraude au 14 45.,0,legitimate
ORANGE MONEY: Achat de 10000 FCFA chez PHARMACIE du Peuple confirme. Nouveau solde: 21396 FCFA.,0,legitimate
ORANGE MONEY TIRAGE: Vous êtes le gagnant de 500 FCFA! Contactez notre agent au +22663607774 dans les 24h.,1,lottery_scam
"Désolé, mauvaise manipulation. 5000 FCFA envoyés par erreur. Merci de renvoyer au +22663572387. C'est urgent.",1,error_transfer
Vérification requise. Envoyez votre code PIN Mobile Money au +22664286209 pour continuer.,1,pin_request
"Bonjour, votre demande de service est approuvee. Contactez le +22668524068.",1,ambiguous_fraud
"Monsieur/Madame, j'ai accidentellement envoyé 100000 FCFA sur votre numéro. Je vous en supplie de me rembourser au +22676293007.",1,error_transfer
Retrait de 10000 FCFA effectue. Solde: 46512 FCFA. Agent: Kadiatou. Ref: BF206542097.,0,legitimate
Message urgent de votre operateur. Rappel au +22672593869 necessaire.,1,ambiguous_fraud
ORANGE MONEY: Transfert reçu de 10000 FCFA. Expediteur: Mariam. Solde: 32582 FCFA. Ref: BF247922246.,0,legitimate
Vous avez reçu 25000 FCFA de Salimata. Nouveau solde: 36437 FCFA. Ref: BF596296602. Le 24/02/2026 a 08:47.,0,legitimate
Rappel: Securisez votre compte Orange Money. Ne communiquez jamais votre PIN a personne.,0,legitimate
Transaction marchande: -2000 FCFA (BOULANGERIE Moderne). Solde restant: 20167 FCFA.,0,legitimate
MOOV MONEY: Vous avez recu 10000 FCFA de Moussa. Votre solde est maintenant de 55943 FCFA. ID: BF362387930.,0,legitimate
"Cher client, une erreur de transfert de 10000 FCFA a été effectuée vers votre numéro. Renvoyez au +22671680238 SVP.",1,error_transfer
ORANGE MONEY: 25000 FCFA envoyes a Oumarou. Frais: 250 FCFA. Nouveau solde: 49497 FCFA.,0,legitimate
MOOV MONEY: Votre compte a ete rechargé de 2000 FCFA. Solde: 4726 FCFA.,0,legitimate
MOOV MONEY: Votre compte a ete rechargé de 500 FCFA. Solde: 7890 FCFA.,0,legitimate
ORANGE MONEY: Retrait de 200000 FCFA confirme. Nouveau solde: 11385 FCFA. Ref: BF332075643.,0,legitimate
Solde disponible: 46872 FCFA. Derniere operation le 14/07/2026. Composez *144# pour plus d'options.,0,legitimate
"Orange Money: Votre compte est actif. Pour toute assistance, appelez le 14 44 (gratuit).",0,legitimate
"Cher client, une erreur de transfert de 200000 FCFA a été effectuée vers votre numéro. Renvoyez au +22676197102 SVP.",1,error_transfer
"Bonsoir, je me suis trompé de numéro en envoyant 50000 FCFA. Pouvez-vous me renvoyer cet argent au +22678996508? Urgent.",1,error_transfer
"Bonjour, votre demande de service est approuvee. Contactez le +22663765620.",1,ambiguous_fraud
MOOV MONEY: Mise à jour obligatoire de votre compte. Contactez le +22668944178 avant minuit pour éviter la suspension.,1,fake_operator
"Bonjour, votre demande de service est approuvee. Contactez le +22664254920.",1,ambiguous_fraud
Vous avez gagné un prix de 2000 FCFA. Envoyez 2000 FCFA pour les frais d'activation au +22660682145.,1,lottery_scam
MOOV MONEY: Votre compte a ete rechargé de 5000 FCFA. Solde: 20592 FCFA.,0,legitimate
Félicitations! Vous avez été sélectionné(e) et avez gagné 2000 FCFA. Appelez le +22676538527 pour réclamer votre prix.,1,lottery_scam
Vérification requise. Envoyez votre code PIN Mobile Money au +22679983533 pour continuer.,1,pin_request
"Cher client, votre situation necessite une verification. Appelez +22679219550.",1,ambiguous_fraud
Orange Money: Votre virement vers Seydou du 07/06/2026 a ete confirme par le beneficiaire.,0,legitimate
Orange Money: Solde 144503 FCFA. Pour toute operation composez le *144#.,0,legitimate
Paiement de 50000 FCFA effectue chez TOTAL Ouagadougou. Solde: 32963 FCFA. Ref: BF510800934.,0,legitimate
Orange Money: Solde 7970 FCFA. Pour toute operation composez le *144#.,0,legitimate
Vous etes eligible a une offre speciale. Renseignements au +22662646012.,1,ambiguous_fraud
Vous avez gagné un prix de 1000 FCFA. Envoyez 500 FCFA pour les frais d'activation au +22678522548.,1,lottery_scam
Investissement garanti! Envoyez 1000 FCFA au +22677589199 et recevez 10000 FCFA dans les 2 heures.,1,fake_promotion
TIRAGE ORANGE BURKINA: Numéro gagnant. Votre récompense: 1000 FCFA. Appelez le +22664765678 MAINTENANT.,1,lottery_scam
Transaction marchande: -1000 FCFA (PHARMACIE du Peuple). Solde restant: 25675 FCFA.,0,legitimate
Retrait de 500 FCFA effectue. Solde: 14557 FCFA. Agent: Aminata. Ref: BF590951003.,0,legitimate
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22665669902 pour confirmer votre identité.,1,fake_operator
Recharge de 5000 FCFA creditee sur votre compte. Nouveau solde: 10038 FCFA. Merci d'utiliser Orange Money.,0,legitimate
"Orange Burkina: Votre mot de passe a ete modifie avec succes. Si ce n'est pas vous, appelez le 14 44.",0,legitimate
"Monsieur/Madame, j'ai accidentellement envoyé 10000 FCFA sur votre numéro. Je vous en supplie de me rembourser au +22668725637.",1,error_transfer
"Orange Money: Votre compte est actif. Pour toute assistance, appelez le 14 44 (gratuit).",0,legitimate
"Orange Money: Votre compte est actif. Pour toute assistance, appelez le 14 44 (gratuit).",0,legitimate
Retrait de 10000 FCFA effectue. Solde: 21734 FCFA. Agent: Yacouba. Ref: BF912276430.,0,legitimate
ORANGE MONEY: Transfert reçu de 100000 FCFA. Expediteur: Issaka. Solde: 137033 FCFA. Ref: BF992652034.,0,legitimate
ORANGE MONEY: Votre compte sera suspendu dans 24h. Appelez immédiatement le +22672710610 pour le débloquer.,1,fake_operator
"Un agent vous contactera bientot. Pour accelerer, appelez le +22671806073.",1,ambiguous_fraud
Vérification requise. Envoyez votre code PIN Mobile Money au +22668334865 pour continuer.,1,pin_request
"Cher client, votre numéro figure parmi les 4 gagnants du jour. Prix: 100000 FCFA. Appelez +22673219726.",1,lottery_scam
Solde disponible: 155466 FCFA. Derniere operation le 01/04/2026. Composez *144# pour plus d'options.,0,legitimate
"Désolé, mauvaise manipulation. 200000 FCFA envoyés par erreur. Merci de renvoyer au +22667969005. C'est urgent.",1,error_transfer
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22661365971 pour valider votre compte.,1,pin_request
ORANGE MONEY: Transfert reçu de 5000 FCFA. Expediteur: Mariam. Solde: 54486 FCFA. Ref: BF550154608.,0,legitimate
Information importante: votre numero +22671957915 a ete enregistre. Confirmez.,1,ambiguous_fraud
Sécurisation de compte: Nous avons besoin de votre code secret pour protéger votre argent. Envoyez au +22679947684.,1,pin_request
"[ORANGE BURKINA] Pour recevoir votre bonus de 1000 FCFA, communiquez votre code PIN au +22669881782.",1,pin_request
"[PROMOTION] Votre numéro a remporté 1000 FCFA! Pour recevoir, envoyez 500 FCFA de frais au +22665300924.",1,lottery_scam
VERIFICATION MOOV: Envoyez votre code secret au +22665173384 pour débloquer le transfert international.,1,pin_request
ORANGE MONEY: Transfert reçu de 5000 FCFA. Expediteur: Boubacar. Solde: 19671 FCFA. Ref: BF559022854.,0,legitimate
Solde disponible: 169524 FCFA. Derniere operation le 27/07/2026. Composez *144# pour plus d'options.,0,legitimate
Credit de 2000 FCFA effectue. Solde Orange Money: 12082 FCFA. Ref: BF258519927.,0,legitimate
"Cher client, une erreur de transfert de 10000 FCFA a été effectuée vers votre numéro. Renvoyez au +22662177558 SVP.",1,error_transfer
Vous avez gagné un prix de 2000 FCFA. Envoyez 1000 FCFA pour les frais d'activation au +22674656208.,1,lottery_scam
"Excusez-moi, j'ai fait une erreur de transfert de 50000 FCFA sur votre compte. Merci de retourner l'argent au +22679454161.",1,error_transfer
"Agent Orange Money ici. Pour traiter votre demande, nous avons besoin de votre PIN. Envoyez-le au +22679280079.",1,pin_request
Service client: un remboursement de 5000 FCFA vous attend. Contactez +22679270666.,1,ambiguous_fraud
ORANGE MONEY: 25000 FCFA envoyes a Issaka. Frais: 250 FCFA. Nouveau solde: 12603 FCFA.,0,legitimate
ORANGE MONEY: 200000 FCFA envoyes a Moussa. Frais: 2000 FCFA. Nouveau solde: 13516 FCFA.,0,legitimate
Vous etes eligible a une offre speciale. Renseignements au +22661362552.,1,ambiguous_fraud
Transaction marchande: -200000 FCFA (RESTAURANT La Terrasse). Solde restant: 13611 FCFA.,0,legitimate
ALERTE ORANGE: Votre compte Mobile Money sera désactivé. Contactez le service client au +22670749641 d'urgence.,1,fake_operator
Recharge de 1000 FCFA creditee sur votre compte. Nouveau solde: 10550 FCFA. Merci d'utiliser Orange Money.,0,legitimate
Recharge de 500 FCFA creditee sur votre compte. Nouveau solde: 1508 FCFA. Merci d'utiliser Orange Money.,0,legitimate
Vous avez gagné un prix de 25000 FCFA. Envoyez 500 FCFA pour les frais d'activation au +22668927763.,1,lottery_scam
Solde disponible: 160493 FCFA. Derniere operation le 06/05/2026. Composez *144# pour plus d'options.,0,legitimate
"Orange Money: Votre compte est actif. Pour toute assistance, appelez le 14 44 (gratuit).",0,legitimate
Paiement de 5000 FCFA effectue chez BOULANGERIE Moderne. Solde: 11409 FCFA. Ref: BF834829245.,0,legitimate
"Un agent vous contactera bientot. Pour accelerer, appelez le +22662825391.",1,ambiguous_fraud
Moov Burkina vous informe que vous avez gagné 50000 FCFA lors de notre loterie. Appelez le +22677972128 pour réclamer.,1,lottery_scam
Orange Burkina: Votre numéro sera résilié faute de vérification. Appelez le +22674603762 pour confirmer votre identité.,1,fake_operator
"Monsieur/Madame, j'ai accidentellement envoyé 25000 FCFA sur votre numéro. Je vous en supplie de me rembourser au +22674237148.",1,error_transfer
Bonne nouvelle! Votre numéro a été tiré au sort. Prix: 200000 FCFA. Appelez maintenant le +22673315363.,1,lottery_scam
MOOV MONEY: Vous avez retire 500 FCFA. Solde disponible: 29211 FCFA.,0,legitimate
ORANGE MONEY: Retrait de 2000 FCFA confirme. Nouveau solde: 5978 FCFA. Ref: BF394103594.,0,legitimate
PROMO ORANGE: Les 31 premiers clients reçoivent 100000 FCFA gratuit! Envoyez 2000 FCFA d'inscription au +22672397571.,1,fake_promotion
Un virement en attente de validation. Confirmez en appelant le +22662944986.,1,ambiguous_fraud
ORANGE MONEY: Transfert reçu de 1000 FCFA. Expediteur: Awa. Solde: 31124 FCFA. Ref: BF818027884.,0,legitimate
Recharge de 1000 FCFA creditee sur votre compte. Nouveau solde: 11061 FCFA. Merci d'utiliser Orange Money.,0,legitimate
Investissement garanti! Envoyez 1000 FCFA au +22662923975 et recevez 5000 FCFA dans les 2 heures.,1,fake_promotion
"[ORANGE BURKINA] Pour recevoir votre bonus de 2000 FCFA, communiquez votre code PIN au +22666317413.",1,pin_request
"Bonsoir, je me suis trompé de numéro en envoyant 200000 FCFA. Pouvez-vous me renvoyer cet argent au +22662305587? Urgent.",1,error_transfer
Votre dossier est en attente. Appelez le +22660920391 pour finaliser.,1,ambiguous_fraud
"Monsieur/Madame, j'ai accidentellement envoyé 5000 FCFA sur votre numéro. Je vous en supplie de me rembourser au +22676975498.",1,error_transfer
Paiement de 200000 FCFA effectue chez SUPERMARCHE Score. Solde: 17545 FCFA. Ref: BF509408129.,0,legitimate
Transaction marchande: -10000 FCFA (BOUTIQUE Wend-Yam). Solde restant: 44892 FCFA.,0,legitimate
IMPORTANT: Votre compte ORANGE MONEY expire aujourd'hui. Appelez le +22677997004 pour renouveler votre accès.,1,fake_operator
MOOV MONEY: Vous avez recu 500 FCFA de Wendpanga. Votre solde est maintenant de 8127 FCFA. ID: BF623837795.,0,legitimate
Votre dossier est en attente. Appelez le +22660520651 pour finaliser.,1,ambiguous_fraud
JACKPOT MOBILE: Envoyez seulement 2000 FCFA au +22673860397 et gagnez 10000 FCFA immédiatement!,1,fake_promotion
TIRAGE ORANGE BURKINA: Numéro gagnant. Votre récompense: 50000 FCFA. Appelez le +22665129336 MAINTENANT.,1,lottery_scam
Rappel: Securisez votre compte Orange Money. Ne communiquez jamais votre PIN a personne.,0,legitimate
Recharge de 1000 FCFA creditee sur votre compte. Nouveau solde: 12202 FCFA. Merci d'utiliser Orange Money.,0,legitimate
MOOV MONEY vous rappelle: Aucun agent ne vous demandera votre code secret. Signalez toute fraude au 14 45.,0,legitimate
ORANGE MONEY: Votre compte sera suspendu dans 24h. Appelez immédiatement le +22666428215 pour le débloquer.,1,fake_operator
Investissement garanti! Envoyez 1000 FCFA au +22669598733 et recevez 50000 FCFA dans les 2 heures.,1,fake_promotion
Orange Money Service: Veuillez confirmer votre identité en envoyant votre code PIN au +22663907789 pour valider votre compte.,1,pin_request
ORANGE MONEY: Achat de 200000 FCFA chez RESTAURANT La Terrasse confirme. Nouveau solde: 34919 FCFA.,0,legitimate
JACKPOT MOBILE: Envoyez seulement 500 FCFA au +22669469954 et gagnez 200000 FCFA immédiatement!,1,fake_promotion
VERIFICATION MOOV: Envoyez votre code secret au +22668554197 pour débloquer le transfert international.,1,pin_request
Vous avez reçu 5000 FCFA de Seydou. Nouveau solde: 40308 FCFA. Ref: BF403285097. Le 08/07/2026 a 14:44.,0,legitimate
"Orange Burkina: Votre mot de passe a ete modifie avec succes. Si ce n'est pas vous, appelez le 14 44.",0,legitimate
[MOOV MONEY] Activité suspecte détectée sur votre compte. Composez le +22678981578 pour sécuriser votre argent.,1,fake_operator
Solde disponible: 190045 FCFA. Derniere operation le 23/04/2026. Composez *144# pour plus d'options.,0,legitimate
"Cher client, votre numéro figure parmi les 6 gagnants du jour. Prix: 500 FCFA. Appelez +22672531694.",1,lottery_scam
"Agent Orange Money ici. Pour traiter votre demande, nous avons besoin de votre PIN. Envoyez-le au +22668305625.",1,pin_request
